date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-26 21:25:15,humansofny,,4,92,598,"“There was this interesting piece in The Times a couple weeks ago about people in solitary confinement..."" pic.twitter.com/gDgeoJNLPM",,,,1199438993982541825,https://twitter.com/humansofny/status/1199438993982541825
2019-11-25 16:17:42,humansofny,,28,948,5087,"“Nobody would give us a chance. We were in our early twenties. We had two young kids..."" pic.twitter.com/ezt6zlUxJo",,,,1198999209615089666,https://twitter.com/humansofny/status/1198999209615089666
2019-11-20 17:55:43,humansofny,,116,998,3658,"“The scene was different back then. All the adult clubs were mob controlled..."" pic.twitter.com/gLVqB7bYMz",,,,1197211937634844672,https://twitter.com/humansofny/status/1197211937634844672
2019-11-19 17:28:38,humansofny,,61,1593,6324,"“My stripper name was Tanqueray. Back in the seventies I was the only black girl making white girl money..."" pic.twitter.com/Xk9RZXuiKV",,,,1196842734918651904,https://twitter.com/humansofny/status/1196842734918651904
2019-11-18 22:02:35,humansofny,mosseri,0,0,35,"Would hopefully be opt in. For longer form content, “likes” are a signal from the more engaged to the less engaged that it’s worth the time investment.",,,,1196549288735715337,https://twitter.com/humansofny/status/1196549288735715337
2019-11-18 16:33:21,humansofny,,139,5301,18577,"“My mom threw me out of the house at seventeen for getting pregnant, then had me arrested when I tried to get my clothes..."" pic.twitter.com/fK2hSEir3g",,,,1196466432155901952,https://twitter.com/humansofny/status/1196466432155901952
2019-11-17 22:32:06,humansofny,,47,470,2467,"“I’ve got major problems. My girlfriend got in my Instagram DMs and found a message from a girl in my class..."" pic.twitter.com/XjNhm4UKER",,,,1196194328311259137,https://twitter.com/humansofny/status/1196194328311259137
2019-11-16 20:52:28,humansofny,,11,353,2347,"“I’m studying for my PhD. My husband is supporting me, but my parents really opposed me being here..."" pic.twitter.com/qpJ6vjmkjA",,,,1195806866799915009,https://twitter.com/humansofny/status/1195806866799915009
2019-11-14 18:31:32,humansofny,,15,556,1796,"“If China gets too near, I’m getting the fuck out..."" pic.twitter.com/P3NgYNCoSr",,,,1195046622289256450,https://twitter.com/humansofny/status/1195046622289256450
2019-11-14 14:50:41,humansofny,ValaAfshar,0,0,2,"@sidraqasim @waqasali",,@sidraqasim @waqasali,,1194991043692912640,https://twitter.com/humansofny/status/1194991043692912640
2019-11-13 20:26:58,humansofny,,12,176,716,"“We had protests five years ago. The movement lasted 79 days, and it was quite peaceful compared to what’s happening now..."" pic.twitter.com/5wDGmimrzk",,,,1194713283078455296,https://twitter.com/humansofny/status/1194713283078455296
2019-11-12 20:01:22,humansofny,,11,245,1232,"“My parents are Christian. They were always telling me stories as to why God was omnipresent, and omniscient, and omnibenevolent..."" pic.twitter.com/4m0Sw5srD4",,,,1194344454678695936,https://twitter.com/humansofny/status/1194344454678695936
2019-11-11 16:03:26,humansofny,,11,236,1010,"“Two million people came out for a protest on June 16th. It was hot..."" pic.twitter.com/UvuvAghmFD",,,,1193922189847777281,https://twitter.com/humansofny/status/1193922189847777281
2019-11-08 19:28:52,humansofny,,47,655,2338,"“I was thirty years old. The economy had collapsed. My husband had just passed away. I had two young children..."" pic.twitter.com/YcxySTsaqx",,,,1192886726345146368,https://twitter.com/humansofny/status/1192886726345146368
2019-11-07 18:28:07,humansofny,,18,393,1946,"“I felt like I had to prove something to my parents. I’d gone to art school without their approval..."" pic.twitter.com/eSCSzSe3k9",,,,1192509046424621056,https://twitter.com/humansofny/status/1192509046424621056
2019-11-06 18:00:20,humansofny,LWhannell,0,0,3,"Awesome!",,,,1192139667589812225,https://twitter.com/humansofny/status/1192139667589812225
2019-11-06 17:12:35,humansofny,,17,154,770,"“I’m retired. Some people tell me to do volunteer work, but I don’t have the heart for it..."" pic.twitter.com/EB6FsaEZvE",,,,1192127650254295040,https://twitter.com/humansofny/status/1192127650254295040
2019-11-05 20:37:22,humansofny,,71,1289,4680,"“He hid it from me for four years. The whole time I believed he was in love with me..."" pic.twitter.com/7aYBw2HNv9",,,,1191816800356290560,https://twitter.com/humansofny/status/1191816800356290560
2019-11-05 11:13:26,humansofny,Al_Humphreys,1,0,5,"",,,,1191674880766464001,https://twitter.com/humansofny/status/1191674880766464001
